"27","30","34","100.0000","14.0000","0","2",\N,"96","83"
"28","30","80","30.0000","3.5000","0","2",\N,\N,"63"
"29","31","7","10.0000","30.0000","0","2",\N,\N,"64"
"30","31","51","10.0000","53.0000","0","2",\N,\N,"65"
"31","31","80","10.0000","3.5000","0","2",\N,\N,"66"
"32","32","1","15.0000","18.0000","0","2",\N,\N,"67"
"33","32","43","20.0000","46.0000","0","2",\N,\N,"68"
"34","33","19","30.0000","9.2000","0","2",\N,"97","81"
"35","34","19","20.0000","9.2000","0","2",\N,\N,"69"
"36","35","48","10.0000","12.7500","0","2",\N,\N,"70"
"37","36","41","200.0000","9.6500","0","2",\N,"98","79"
"38","37","8","17.0000","40.0000","0","2",\N,\N,"71"
"39","38","43","300.0000","46.0000","0","2",\N,"99","77"
"40","39","48","100.0000","12.7500","0","2",\N,"100","75"
"41","40","81","200.0000","2.9900","0","2",\N,"101","73"
"42","41","43","300.0000","46.0000","0","1",\N,"102","104"
"43","42","6","10.0000","25.0000","0","2",\N,\N,"84"
"44","42","4","10.0000","22.0000","0","2",\N,\N,"85"
"45","42","19","10.0000","9.2000","0","2",\N,"103","110"
"46","43","80","20.0000","3.5000","0","1",\N,\N,"86"
"47","43","81","50.0000","2.9900","0","1",\N,\N,"87"
"48","44","1","25.0000","18.0000","0","1",\N,\N,"88"
"49","44","43","25.0000","46.0000","0","1",\N,\N,"89"
"50","44","81","25.0000","2.9900","0","1",\N,\N,"90"
"51","45","41","50.0000","9.6500","0","2",\N,"104","116"
"52","45","40","50.0000","18.4000","0","2",\N,\N,"91"
"53","46","57","100.0000","19.5000","0","2",\N,"105","101"
"54","46","72","50.0000","34.8000","0","2",\N,"106","114"
"55","47","34","300.0000","14.0000","0","2",\N,"107","108"
"56","48","8","25.0000","40.0000","0","2",\N,"108","106"
"57","48","19","25.0000","9.2000","0","2",\N,"109","112"
"59","50","21","20.0000","10.0000","0","2",\N,\N,"92"
"60","51","5","25.0000","21.3500","0","2",\N,\N,"93"
"61","51","41","30.0000","9.6500","0","2",\N,\N,"94"
"62","51","40","30.0000","18.4000","0","2",\N,\N,"95"
"66","56","48","10.0000","12.7500","0","2",\N,"111","99"
"67","55","34","87.0000","14.0000","0","2",\N,\N,"117"
"68","79","7","30.0000","30.0000","0","2",\N,\N,"119"
"69","79","51","30.0000","53.0000","0","2",\N,\N,"118"
"70","78","17","40.0000","39.0000","0","2",\N,\N,"120"
"71","77","6","90.0000","25.0000","0","2",\N,\N,"121"
"72","76","4","30.0000","22.0000","0","2",\N,\N,"122"
"73","75","48","40.0000","12.7500","0","2",\N,\N,"123"
"74","74","48","40.0000","12.7500","0","2",\N,\N,"124"
"75","73","41","10.0000","9.6500","0","2",\N,\N,"125"
"76","72","43","5.0000","46.0000","0","2",\N,\N,"126"
"77","71","40","40.0000","18.4000","0","2",\N,\N,"127"
"78","70","8","20.0000","40.0000","0","2",\N,\N,"128"
"79","69","80","15.0000","3.5000","0","2",\N,\N,"129"
"80","67","74","20.0000","10.0000","0","2",\N,\N,"130"
"81","60","72","40.0000","34.8000","0","2",\N,\N,"131"
"82","63","3","50.0000","10.0000","0","2",\N,\N,"132"
"83","63","8","3.0000","40.0000","0","2",\N,\N,"133"
"84","58","20","40.0000","81.0000","0","2",\N,\N,"134"
"85","58","52","40.0000","7.0000","0","2",\N,\N,"135"
"86","80","56","10.0000","38.0000","0","1",\N,\N,"136"
"90","81","81","0.0000","2.9900","0","5",\N,\N,\N
"91","81","56","0.0000","38.0000","0","0",\N,\N,\N
